Player,Batting Classification,Bowling Classification,DOB,Debut Date
I Dawood,Right-hand batsman,null,1976-07-23,2004-07-02
RKJ Dawson,Right-hand batsman,Right-arm off-break,1980-08-04,2004-07-02
MJ Hoggard,Right-hand batsman,Right-arm fast-medium,1976-12-31,2004-07-02
JD Middlebrook,Right-hand batsman,Right-arm off-break,1977-05-13,2004-07-02
AP Cowan,Right-hand batsman,Right-arm fast-medium,1975-05-07,2004-07-02
AJ Clarke,Left-hand batsman,Right-arm medium pace,1975-11-09,2004-07-02
MJ Clarke,Right-hand batsman,Slow left-arm orthodox,1981-04-02,2004-07-02
MJ Brown,Right-hand batsman,Right-arm off-break,1980-02-09,2004-07-02
SR Watson,Right-hand batsman,Right-arm medium-fast,1981-06-17,2004-07-02
GA Lamb,Right-hand batsman,Right-arm off-break  Right-arm medium pace,1980-03-04,2004-07-02
CT Tremlett,Right-hand batsman,Right-arm fast-medium,1981-09-02,2004-07-02
JTA Bruce,Right-hand batsman,Right-arm medium-fast,1979-12-17,2004-07-02
BV Taylor,Left-hand batsman,Right-arm medium-fast,1977-01-11,2004-07-02
JWM Dalrymple,Right-hand batsman,Right-arm off-break,1981-01-21,2004-07-02
DLS van Bunge,Right-hand batsman,Leg-break,1982-10-19,2004-07-02
NRD Compton,Right-hand batsman,Right-arm off-break,1983-06-26,2004-07-02
BJM Scott,Right-hand batsman,null,1981-08-04,2004-07-02
MM Betts,Right-hand batsman,Right-arm fast-medium,1975-03-26,2004-07-02
Shahid Afridi,Right-hand batsman,Leg-break and googly,1980-03-01,2004-07-02
AGR Loudon,Right-hand batsman,Right-arm off-break,1980-09-06,2004-07-02
JL Denly,Right-hand batsman,Leg-break,1986-03-16,2004-07-02
NJ O'Brien,Left-hand batsman,null,1981-11-08,2004-07-02
A Khan,Right-hand batsman,Right-arm fast-medium,1980-10-14,2004-07-02
MJ Saggers,Right-hand batsman,Right-arm fast-medium,1972-05-23,2004-07-02
OD Gibson,Right-hand batsman,Right-arm fast,1969-03-16,2004-07-02
CW Henderson,Right-hand batsman,Slow left-arm orthodox,1972-06-14,2004-07-02
MF Cleary,Left-hand batsman,Right-arm fast-medium,1980-07-19,2004-07-02
SP Crook,Right-hand batsman,Right-arm fast-medium,1983-05-28,2004-07-02
D Mongia,Left-hand batsman,Slow left-arm orthodox,1977-04-17,2004-07-02
G Keedy,Left-hand batsman,Slow left-arm orthodox,1974-11-27,2004-07-02
TW Roberts,Right-hand batsman,Right-arm off-break,1978-03-04,2004-07-02
J Louw,Right-hand batsman,Right-arm medium-fast,1979-04-12,2004-07-02
AJ Shantry,Left-hand batsman,Left-arm fast-medium,1982-11-13,2004-07-02
AG Wharf,Right-hand batsman,Right-arm medium-fast,1975-06-04,2004-07-02
AP Davies,Left-hand batsman,Right-arm medium pace,1976-11-07,2004-07-02
A Pratt,Left-hand batsman,null,1975-03-04,2004-07-02
MJ North,Left-hand batsman,Right-arm off-break,1979-07-28,2004-07-02
GR Breese,Right-hand batsman,Right-arm off-break,1976-01-09,2004-07-02
GD Bridge,Right-hand batsman,Slow left-arm orthodox,1980-09-04,2004-07-02
G Onions,Right-hand batsman,Right-arm medium-fast,1982-09-09,2004-07-02
DJ Hussey,Right-hand batsman,Right-arm off-break,1977-07-15,2004-07-02
CMW Read,Right-hand batsman,null,1978-08-10,2004-07-02
MA Butcher,Left-hand batsman,Right-arm medium pace,1972-08-23,2004-07-02
ND Doshi,Right-hand batsman,Slow left-arm orthodox,1978-10-06,2004-07-02
MH Yardy,Left-hand batsman,Left-arm medium pace  Slow left-arm orthodox,1980-11-27,2004-07-02
LJ Wright,Right-hand batsman,Right-arm medium pace,1985-03-07,2004-07-02
Mohammad Akram,Right-hand batsman,Right-arm fast-medium,1974-09-10,2004-07-02
JC Hildreth,Right-hand batsman,Right-arm fast-medium,1984-09-09,2004-07-02
JD Francis,Left-hand batsman,Slow left-arm orthodox,1980-11-13,2004-07-02
ND Hancock,Right-hand batsman,Right-arm fast-medium,1976-04-13,2004-07-02
TA Hunt,Left-hand batsman,Right-arm fast-medium,1982-01-19,2004-07-02
GB Hogg,Left-hand batsman,Slow left-arm chinaman,1971-02-06,2004-07-02
D Pretorius,Right-hand batsman,Right-arm fast,1977-12-06,2004-07-02
VS Solanki,Right-hand batsman,Right-arm off-break,1976-04-01,2004-07-02
GA Hick,Right-hand batsman,Right-arm off-break,1966-05-23,2004-07-02
AJ Bichel,Right-hand batsman,Right-arm fast-medium,1970-08-27,2004-07-02
DJ Pipe,Right-hand batsman,null,1977-12-16,2004-07-02
DH Wigley,Right-hand batsman,Right-arm fast-medium,1981-10-26,2004-07-02
MN Malik,Right-hand batsman,Right-arm medium-fast,1982-10-06,2004-07-02
THC Hancock,Right-hand batsman,Right-arm medium pace,1972-04-20,2004-07-02
ID Fisher,Left-hand batsman,Slow left-arm orthodox,1976-03-31,2004-07-02
CJR Jennings,Right-hand batsman,Right-arm fast-medium,1984-11-13,2004-07-05
CG Greenidge,Right-hand batsman,Right-arm fast-medium,1978-04-20,2004-07-05
I Pattison,Right-hand batsman,Right-arm medium pace,1982-05-05,2004-07-07
A McGrath,Right-hand batsman,Right-arm medium pace,1975-10-06,2004-07-07
SP Kirby,Right-hand batsman,Right-arm fast-medium,1977-10-04,2004-07-07
HH Streak,Right-hand batsman,Right-arm fast-medium,1974-03-16,2004-07-08
MJ Wood,Right-hand batsman,Right-arm off-break,1980-09-30,2004-07-09
PMR Havell,Left-hand batsman,Right-arm fast-medium,1980-07-04,2004-07-09
RWT Key,Right-hand batsman,Right-arm medium pace,1979-05-12,2004-07-09
A Richardson,Right-hand batsman,Right-arm medium-fast,1975-05-06,2004-07-09
K Ali,Right-hand batsman,Right-arm fast-medium,1980-11-24,2004-07-09
D Gough,Right-hand batsman,Right-arm fast,1970-09-18,2004-07-12
AF Giles,Right-hand batsman,Slow left-arm orthodox,1973-03-19,2004-07-12
CJC Wright,Right-hand batsman,Right-arm fast-medium,1985-07-14,2004-07-13
IG Butler,Right-hand batsman,Right-arm fast-medium,1981-11-24,2004-07-13
RJ Warren,Right-hand batsman,Right-arm off-break,1971-09-10,2004-07-13
JEC Franklin,Left-hand batsman,Left-arm fast-medium,1980-11-07,2004-07-14
A Flintoff,Right-hand batsman,Right-arm fast,1977-12-06,2004-07-14
JM Anderson,Left-hand batsman,Right-arm fast-medium,1982-07-30,2004-07-14
SJ Harmison,Right-hand batsman,Right-arm fast,1978-10-23,2004-07-15
RS Ferley,Right-hand batsman,Slow left-arm orthodox,1982-02-04,2004-07-15
N Shahid,Right-hand batsman,Leg-break,1969-04-23,2004-07-15
ME Trescothick,Left-hand batsman,Right-arm medium pace,1975-12-25,2004-07-15
RT Ponting,Right-hand batsman,Right-arm medium pace  Right-arm off-break,1974-12-19,2004-07-15
MTG Elliott,Left-hand batsman,Left-arm medium pace,1971-09-28,2004-07-19
SK Warne,Right-hand batsman,Leg-break and googly,1969-09-13,2004-07-19
AR Adams,Right-hand batsman,Right-arm fast-medium,1975-07-17,2004-07-19
PN Udawatta,Right-hand batsman,Right-arm off-break,1971-06-12,2004-08-17
SA Wijeratne,Right-hand batsman,Right-arm off-break,1978-01-31,2004-08-17
WNM Soysa,Left-hand batsman,Slow left-arm orthodox,1970-04-09,2004-08-17
KADMC Kuruppu,Right-hand batsman,null,1984-02-17,2004-08-17
RGD Sanjeewa,Right-hand batsman,Right-arm off-break,1971-05-15,2004-08-17
HPA Priyantha,Right-hand batsman,Left-arm medium pace,1973-02-04,2004-08-17
MM Rasmijinan,Left-hand batsman,Left-arm fast-medium,1981-12-06,2004-08-17
JSM Shazmil,Left-hand batsman,Right-arm fast-medium,1982-12-01,2004-08-17
MY Kudagodage,Right-hand batsman,null,1972-10-30,2004-08-17
YAN Mendis,Left-hand batsman,Slow left-arm orthodox,1982-06-09,2004-08-17
TAVHK Ranaweera,Right-hand batsman,Right-arm medium pace,1968-12-18,2004-08-17
WS Jayantha,Right-hand batsman,Right-arm off-break,1974-01-26,2004-08-17
GI Daniel,Right-hand batsman,Right-arm medium pace,1981-08-17,2004-08-17
SHT Kandamby,Left-hand batsman,Leg-break,1982-06-04,2004-08-17
TM Dilshan,Right-hand batsman,Right-arm off-break,1976-10-14,2004-08-17
HDPK Dharmasena,Right-hand batsman,Right-arm off-break  Right-arm medium pace,1971-04-24,2004-08-17
MF Maharoof,Right-hand batsman,Right-arm fast-medium,1984-09-07,2004-08-17
TMN Sampath,Right-hand batsman,Right-arm medium pace,1982-06-23,2004-08-17
HWU Varuna,Left-hand batsman,Right-arm medium-fast,1984-03-11,2004-08-17
ABT Lakshitha,Right-hand batsman,Right-arm fast-medium,1982-04-30,2004-08-17
GT de Silva,Left-hand batsman,null,1985-07-25,2004-08-17
HGD Nayanakantha,Right-hand batsman,Right-arm fast-medium,1979-03-02,2004-08-17
DA Gunawardene,Left-hand batsman,null,1977-05-26,2004-08-17
DNT Zoysa,Left-hand batsman,Left-arm fast-medium,1978-05-13,2004-08-17
DPMD Jayawardene,Right-hand batsman,Right-arm medium pace,1977-05-27,2004-08-17
LPC Silva,Right-hand batsman,Leg-break,1979-12-14,2004-08-17
BMAJ Mendis,Left-hand batsman,Leg-break,1983-01-15,2004-08-17
MN Silva,Left-hand batsman,Right-arm medium pace,1981-09-24,2004-08-17
RPAH Wickramaratne,Left-hand batsman,Slow left-arm orthodox,1971-02-21,2004-08-17
CS Fernando,Left-hand batsman,null,1982-12-30,2004-08-17
TT Samaraweera,Right-hand batsman,Right-arm off-break,1976-09-22,2004-08-17
CRD Fernando,Right-hand batsman,Right-arm fast-medium,1979-07-19,2004-08-17
DS Hettiarachchi,Right-hand batsman,Slow left-arm orthodox,1976-07-15,2004-08-17
BCMS Mendis,Right-hand batsman,Right-arm off-break,1974-11-13,2004-08-17
TJ Madanayake,Left-hand batsman,Right-arm off-break,1981-08-10,2004-08-17
RHS Silva,Right-hand batsman,Right-arm medium pace,1975-04-09,2004-08-17
DNW Pathirana,Right-hand batsman,Right-arm off-break,1982-05-26,2004-08-17
RN Weerasinghe,Left-hand batsman,Right-arm medium pace,1976-08-20,2004-08-17
R Soysa,Right-hand batsman,Right-arm medium-fast,1970-11-30,2004-08-17
CU Jayasinghe,Right-hand batsman,Right-arm medium pace,1978-05-19,2004-08-17
DF Arnolda,Right-hand batsman,Right-arm medium pace,1975-01-17,2004-08-17
KSC de Silva,Left-hand batsman,Left-arm fast-medium,1971-01-11,2004-08-17
RCRP Silva,Right-hand batsman,Right-arm fast-medium,1976-07-27,2004-08-17
S Weerakoon,Left-hand batsman,Slow left-arm orthodox,1978-02-17,2004-08-17
MG Vandort,Left-hand batsman,Right-arm medium pace,1980-01-19,2004-08-17
DN Hunukumbura,Left-hand batsman,null,1977-11-07,2004-08-17
J Mubarak,Left-hand batsman,Right-arm off-break,1981-01-10,2004-08-17
AS Polonowita,Right-hand batsman,Right-arm medium pace,1977-02-26,2004-08-17
ASA Perera,Right-hand batsman,Right-arm fast-medium,1978-02-16,2004-08-17
KGN Randika,Left-hand batsman,Slow left-arm chinaman,1982-07-30,2004-08-17
RWMGA Ratnayake,Left-hand batsman,Right-arm off-break,1984-09-15,2004-08-17
SKL de Silva,Right-hand batsman,Right-arm off-break,1975-07-29,2004-08-17
TCB Fernando,Right-hand batsman,Right-arm fast-medium,1980-08-22,2004-08-17
NS Rupasinghe,Right-hand batsman,Slow left-arm orthodox,1979-07-11,2004-08-17
WRS de Silva,Right-hand batsman,Left-arm medium-fast,1979-10-07,2004-08-17
DA Marage,Right-hand batsman,Leg-break,1981-09-24,2004-08-17
RHTA Perera,Left-hand batsman,Left-arm slow-medium,1979-12-19,2004-08-17
GYSR Perera,Left-hand batsman,null,1985-05-14,2004-08-17
MR Fernando,Right-hand batsman,Leg-break,1984-01-25,2004-08-17
DHMB Wickramatunga,Right-hand batsman,null,1982-06-12,2004-08-17
RSA Palliyaguruge,Right-hand batsman,Right-arm medium pace,1968-01-22,2004-08-17
AML Perera,Right-hand batsman,Right-arm medium-fast,1985-07-21,2004-08-17
SR Abeywardene,Right-hand batsman,Slow left-arm orthodox,1982-10-04,2004-08-17
MMCS Perera,Right-hand batsman,Right-arm medium pace,1969-05-13,2004-08-17
THAIK Bandaranayake,Right-hand batsman,Right-arm fast-medium,1981-11-18,2004-08-17
SDC Malinga,Right-hand batsman,Right-arm fast-medium,1983-08-08,2004-08-17
KD Gunawardene,Left-hand batsman,Right-arm off-break,1984-10-09,2004-08-17
MN Nawaz,Left-hand batsman,Leg-break,1973-09-20,2004-08-17
KC Sangakkara,Left-hand batsman,Right-arm off-break,1977-10-27,2004-08-17
UDU Chandana,Right-hand batsman,Leg-break,1972-05-07,2004-08-17
RP Arnold,Left-hand batsman,Right-arm off-break,1973-10-25,2004-08-17
HAPW Jayawardene,Right-hand batsman,null,1979-10-09,2004-08-17
KR Pushpakumara,Right-hand batsman,Right-arm fast-medium,1975-07-21,2004-08-17
MTT Mirando,Left-hand batsman,Left-arm fast-medium,1981-03-01,2004-08-17
CRB Mudalige,Right-hand batsman,Right-arm off-break,1976-07-05,2004-08-17
RSR de Zoysa,Left-hand batsman,Leg-break,1984-10-08,2004-08-17
SL Malinga,Right-hand batsman,Right-arm fast,1983-09-04,2004-08-17
NANN Perera,Right-hand batsman,Right-arm slow-medium,1982-01-09,2004-08-17
NN Weeraman,Right-hand batsman,Right-arm off-break,1977-11-12,2004-08-17
RR Tissera,Right-hand batsman,null,1978-12-14,2004-08-17
WJMR Dias,Right-hand batsman,Right-arm fast-medium,1979-08-14,2004-08-17
WMMS Dias,Right-hand batsman,Right-arm fast-medium,1985-07-29,2004-08-17
KM Fernando,Right-hand batsman,Slow left-arm orthodox,1981-03-16,2004-08-17
PN Ranjith,Left-hand batsman,Left-arm fast-medium,1972-12-06,2004-08-17
BCN Amarasinghe,Right-hand batsman,Right-arm off-break,1982-09-26,2004-08-17
KLSL Dias,Left-hand batsman,Slow left-arm orthodox,1979-12-09,2004-08-17
PS Jayaprakashdaran,Right-hand batsman,Right-arm fast-medium,1984-01-13,2004-08-17
KSD Kumara,Right-hand batsman,Leg-break,1977-01-24,2004-08-17
WADAP Perera,Right-hand batsman,Leg-break,1980-09-10,2004-08-17
TMI Mutaliph,Right-hand batsman,null,1983-02-08,2004-08-17
WMG Ramyakumara,Left-hand batsman,Left-arm medium pace,1976-12-21,2004-08-17
KHRK Fernando,Right-hand batsman,Right-arm medium-fast,1979-10-14,2004-08-17
JMPC Jayasundera,Right-hand batsman,Leg-break,1980-08-06,2004-08-17
MDK Perera,Right-hand batsman,Right-arm off-break,1982-07-22,2004-08-17
MK Gajanayake,Right-hand batsman,Right-arm off-break,1980-10-05,2004-08-17
MMDNRG Perera,Left-hand batsman,Leg-break,1977-09-05,2004-08-17
LJP Gunaratne,Right-hand batsman,Right-arm off-break,1981-03-14,2004-08-17
DGR Dhammika,Left-hand batsman,Slow left-arm orthodox,1980-12-27,2004-08-17
LDI Perera,Right-hand batsman,Right-arm medium pace,1979-06-27,2004-08-17
MKPB Kularatne,Right-hand batsman,null,1979-03-24,2004-08-17
PK Bodhisha,Left-hand batsman,Slow left-arm orthodox,1985-09-13,2004-08-17
PARC Karunasena,Right-hand batsman,Right-arm medium pace,1977-10-14,2004-08-17
SI de Saram,Right-hand batsman,Right-arm off-break,1973-09-02,2004-08-17
ICD Perera,Right-hand batsman,Right-arm fast-medium,1979-10-31,2004-08-17
CRP Galappathy,Left-hand batsman,Right-arm off-break,1978-01-30,2004-08-17
AS Wewalwala,Right-hand batsman,Right-arm fast-medium,1975-05-11,2004-08-17
DD Wickramasinghe,Right-hand batsman,Leg-break,1968-10-01,2004-08-17
PASS Jeewantha,Right-hand batsman,Right-arm fast-medium,1985-11-25,2004-08-17
ORP Kumara,Right-hand batsman,Right-arm off-break,1980-07-09,2004-08-17
AACE Athukorala,Left-hand batsman,Right-arm medium-fast,1984-07-06,2004-08-17
PHK de Silva,Right-hand batsman,Right-arm off-break,1983-02-24,2004-08-17
SWC Sanjeewa,Right-hand batsman,Right-arm medium pace,1980-06-06,2004-08-17
ASR Jayasuriya,Right-hand batsman,null,1984-10-01,2004-08-17
A Rizan,Right-hand batsman,Right-arm off-break,1973-12-24,2004-08-17
WCR Tissera,Right-hand batsman,Right-arm fast-medium,1979-11-07,2004-08-17
SN Wijesinghe,Right-hand batsman,Right-arm medium pace,1979-10-27,2004-08-17
KA Kumara,Right-hand batsman,Right-arm medium-fast,1977-11-27,2004-08-17
WP Wickrama,Right-hand batsman,Right-arm off-break,1980-12-28,2004-08-17
MKGCP Lakshitha,Right-hand batsman,Right-arm fast-medium,1979-01-04,2004-08-17
JDM de Silva,Right-hand batsman,Right-arm medium pace,1984-09-06,2004-08-17
GS Dananjaya,Right-hand batsman,Slow left-arm orthodox,1981-09-06,2004-08-17
S Kalavitigoda,Right-hand batsman,Leg-break,1977-12-23,2004-08-17
RS Kaluwitharana,Right-hand batsman,null,1969-11-24,2004-08-17
HE Vithana,Right-hand batsman,Right-arm off-break,1985-08-15,2004-08-17
TR Peiris,Right-hand batsman,null,1982-01-21,2004-08-17
DP Samaraweera,Right-hand batsman,Right-arm off-break,1972-02-12,2004-08-17
KRNU Perera,Right-hand batsman,Leg-break,1985-10-11,2004-08-17
DK Liyanage,Left-hand batsman,Right-arm fast-medium,1972-06-06,2004-08-17
KMDN Kulasekara,Right-hand batsman,Right-arm fast-medium,1982-07-22,2004-08-17
KEA Upashantha,Right-hand batsman,Right-arm fast-medium,1972-06-10,2004-08-17
PS Liyanage,Left-hand batsman,Left-arm fast-medium,1982-10-04,2004-08-17
NC Komasaru,Left-hand batsman,Slow left-arm orthodox,1983-09-10,2004-08-17
DM Ramanayake,Right-hand batsman,Right-arm medium pace,1980-06-15,2004-08-17
RH Sureshchandra,Right-hand batsman,Right-arm off-break,1978-04-03,2004-08-17
PHMG Fernando,Right-hand batsman,null,1980-09-09,2004-08-17
RHAP Jayaratne,Right-hand batsman,Right-arm off-break,1984-06-02,2004-08-17
NM Ramzi,Right-hand batsman,Right-arm medium-fast,1982-03-23,2004-08-17
AW Ekanayake,Right-hand batsman,Slow left-arm orthodox,1965-10-03,2004-08-17
GSP Dharmapala,Right-hand batsman,Right-arm fast-medium,1983-03-14,2004-08-17
JT Samaratunga,Right-hand batsman,Slow left-arm orthodox,1978-09-14,2004-08-17
JAMW Kumara,Right-hand batsman,Right-arm fast-medium,1964-07-13,2004-08-17
MPGDP Gunatilleke,Right-hand batsman,Right-arm off-break,1983-04-08,2004-08-17
HM Maduwantha,Left-hand batsman,Right-arm medium-fast,1979-12-02,2004-08-17
PSAN Shiroman,Right-hand batsman,Right-arm medium pace,1974-09-14,2004-08-17
MA Sandaruwan,Right-hand batsman,Right-arm off-break,1984-12-25,2004-08-17
DGC Silva,Right-hand batsman,Right-arm medium pace,1984-09-17,2004-08-17
KADJ Siriwardene,Right-hand batsman,Right-arm medium pace,1979-06-13,2004-08-17
KPPB Seneviratne,Right-hand batsman,Right-arm off-break,1980-01-09,2004-08-17
KADM Fernando,Right-hand batsman,Right-arm fast-medium,1979-08-10,2004-08-17
WJSD Perera,Left-hand batsman,Right-arm fast-medium,1978-12-28,2004-08-17
SHSMK Silva,Right-hand batsman,Leg-break,1975-03-04,2004-08-17
SPLCS Perera,Right-hand batsman,Right-arm medium pace,1982-11-12,2004-08-17
MTD Fernando,Left-hand batsman,Left-arm fast-medium,1984-06-14,2004-08-17
WMJ Wannakuwatta,Right-hand batsman,null,1980-07-08,2004-08-17
TKD Sudarshana,Right-hand batsman,Right-arm medium pace,1976-06-19,2004-08-17
HAHU Tillakaratne,Right-hand batsman,Right-arm fast-medium,1976-12-16,2004-08-17
JWHD Boteju,Right-hand batsman,Right-arm medium pace,1977-11-03,2004-08-17
BDAP Ranaweera,Right-hand batsman,Right-arm medium pace,1973-12-01,2004-08-17
WR Fernando,Right-hand batsman,null,1977-02-03,2004-08-17
LHD Dilhara,Right-hand batsman,Right-arm fast-medium,1980-07-03,2004-08-17
HMRKB Herath,Left-hand batsman,Slow left-arm orthodox,1978-03-19,2004-08-17
KRP Silva,Right-hand batsman,Right-arm fast-medium,1980-05-09,2004-08-17
WT Abeyratne,Right-hand batsman,Right-arm off-break,1978-09-21,2004-08-17
HMS Jayawardene,Right-hand batsman,Leg-break,1980-08-21,2004-08-17
UWMBCA Welagedara,Right-hand batsman,Left-arm fast-medium,1981-03-20,2004-08-17
CM Withanage,Left-hand batsman,Right-arm medium pace,1976-06-26,2004-08-17
EFMU Fernando,Right-hand batsman,Right-arm medium pace,1973-06-08,2004-08-17
CG Wijesinghe,Right-hand batsman,Right-arm off-break,1982-02-04,2004-08-17
DA Ranatunga,Right-hand batsman,Leg-break,1981-11-08,2004-08-17
JSK Peiris,Right-hand batsman,Right-arm off-break,1973-04-08,2004-08-17
HGSP Fernando,Right-hand batsman,Right-arm off-break,1980-09-12,2004-08-17
SADU Indrasiri,Left-hand batsman,Slow left-arm orthodox,1982-11-02,2004-08-17
WDDS Perera,Right-hand batsman,Right-arm fast-medium,1979-10-29,2004-08-17
RD Dissanayake,Right-hand batsman,Right-arm off-break,1978-12-25,2004-08-17
N Quintaz,Right-hand batsman,Right-arm medium pace,1981-09-28,2004-08-17
TDD Darshanapriya,Right-hand batsman,Right-arm medium-fast,1983-10-23,2004-08-17
DN Dias,Right-hand batsman,Right-arm fast-medium,1985-08-10,2004-09-02
PDG Chandrakumara,Right-hand batsman,Right-arm fast-medium,1983-05-06,2004-09-02
PUM Chanaka,Right-hand batsman,Right-arm fast-medium,1984-11-17,2004-09-02
WCA Ganegama,Right-hand batsman,Right-arm fast-medium,1981-03-29,2004-09-02
DCM Wickramasinghe,Left-hand batsman,Slow left-arm orthodox,1981-01-24,2004-09-02
HGJM Kulatunga,Right-hand batsman,Right-arm medium pace,1973-11-02,2004-09-02
M Pushpakumara,Left-hand batsman,Right-arm off-break,1981-09-26,2004-09-02
RSSS de Zoysa,Left-hand batsman,null,1987-01-31,2004-09-02
BMSN Mendis,Right-hand batsman,Right-arm fast-medium,1979-10-10,2004-09-02
KPSP Karunanayake,Right-hand batsman,Right-arm fast-medium,1987-02-14,2004-09-02
ST Jayasuriya,Left-hand batsman,Slow left-arm orthodox,1969-06-30,2004-09-02
KS Lokuarachchi,Right-hand batsman,Leg-break,1982-05-20,2004-09-02
